Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-16 16:54:42,2019-05-16 16:56:15,1m - 33.574s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-16 16:54:43,2019-05-16 16:56:15,1m - 31.991s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-16 16:54:44,2019-05-16 16:55:36,52.127s,PASSED
profile_name = userName,Firefox 67.0,,,2019-05-16 16:55:36,2019-05-16 16:55:36,0.012s,PASSED
switch (profile_name),Firefox 67.0,,,2019-05-16 16:55:36,2019-05-16 16:56:15,38.994s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-16 16:56:15,2019-05-16 16:56:15,0.022s,PASSED
