Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 18:24:46,2019-05-16 18:25:45,58.523s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 18:24:47,2019-05-16 18:25:45,57.777s,FAILED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 18:24:48,2019-05-16 18:25:27,39.688s,PASSED
profile_name = getExecutionProfile(),Chrome 74.0.3729.131,,,2019-05-16 18:25:27,2019-05-16 18:25:27,0.007s,PASSED
switch (profile_name),Chrome 74.0.3729.131,,,2019-05-16 18:25:27,2019-05-16 18:25:44,17.185s,FAILED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 18:25:45,2019-05-16 18:25:45,0.024s,PASSED
