Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 15:54:31,2019-05-16 15:55:07,36.448s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 15:54:32,2019-05-16 15:55:07,35.445s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 15:54:32,2019-05-16 15:55:07,34.736s,PASSED
println(userName),Chrome 74.0.3729.131,,,2019-05-16 15:55:07,2019-05-16 15:55:07,0.005s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 15:55:07,2019-05-16 15:55:07,0.042s,PASSED
