Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 17:23:46,2019-05-16 17:24:50,1m - 3.178s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 17:23:48,2019-05-16 17:24:50,1m - 1.920s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 17:23:49,2019-05-16 17:24:23,34.915s,PASSED
profile_name = getExecutionProfile(),Chrome 74.0.3729.131,,,2019-05-16 17:24:23,2019-05-16 17:24:23,0.001s,PASSED
switch (profile_name),Chrome 74.0.3729.131,,,2019-05-16 17:24:23,2019-05-16 17:24:50,26.076s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 17:24:50,2019-05-16 17:24:50,0.021s,PASSED
