Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 16:54:42,2019-05-16 16:55:21,39.172s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 16:54:44,2019-05-16 16:55:21,37.454s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 16:54:44,2019-05-16 16:55:21,36.913s,PASSED
profile_name = userName,Chrome 74.0.3729.131,,,2019-05-16 16:55:21,2019-05-16 16:55:21,0.003s,PASSED
switch (profile_name),Chrome 74.0.3729.131,,,2019-05-16 16:55:21,2019-05-16 16:55:21,0.006s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 16:55:21,2019-05-16 16:55:21,0.035s,PASSED
