Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-16 18:15:55,2019-05-16 18:17:45,1m - 49.715s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-16 18:15:56,2019-05-16 18:17:45,1m - 48.657s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-16 18:15:57,2019-05-16 18:17:00,1m - 3.777s,PASSED
profile_name = getExecutionProfile(),Firefox 67.0,,,2019-05-16 18:17:00,2019-05-16 18:17:00,0.001s,PASSED
switch (profile_name),Firefox 67.0,,,2019-05-16 18:17:00,2019-05-16 18:17:45,44.138s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-16 18:17:45,2019-05-16 18:17:45,0.022s,PASSED
