Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-16 16:18:18,2019-05-16 16:19:13,54.568s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-16 16:18:19,2019-05-16 16:19:13,53.394s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-16 16:18:20,2019-05-16 16:19:13,52.894s,PASSED
println(userName),Firefox 67.0,,,2019-05-16 16:19:13,2019-05-16 16:19:13,0.003s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-16 16:19:13,2019-05-16 16:19:13,0.021s,PASSED
