Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 17:46:26,2019-05-16 17:47:22,56.043s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 17:46:27,2019-05-16 17:47:22,55.031s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 17:46:28,2019-05-16 17:46:59,30.703s,PASSED
profile_name = getExecutionProfile(),Chrome 74.0.3729.131,,,2019-05-16 17:46:59,2019-05-16 17:46:59,0.004s,PASSED
switch (profile_name),Chrome 74.0.3729.131,,,2019-05-16 17:46:59,2019-05-16 17:47:22,23.553s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 17:47:22,2019-05-16 17:47:22,0.050s,PASSED
