Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-14 18:08:59,2019-05-14 18:09:09,9.504s,FAILED
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-14 18:09:00,2019-05-14 18:09:08,7.966s,FAILED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-14 18:09:00,2019-05-14 18:09:08,7.403s,FAILED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-14 18:09:08,2019-05-14 18:09:08,0.038s,PASSED
