Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-14 17:59:29,2019-05-14 18:00:13,44.405s,PASSED
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-14 17:59:30,2019-05-14 18:00:11,40.843s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-14 17:59:30,2019-05-14 18:00:11,40.468s,PASSED
println(userName),Firefox 67.0,,,2019-05-14 18:00:11,2019-05-14 18:00:11,0.002s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-14 18:00:11,2019-05-14 18:00:11,0.023s,PASSED
