Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-14 18:28:06,2019-05-14 18:28:36,30.152s,PASSED
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-14 18:28:07,2019-05-14 18:28:35,28.693s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-14 18:28:07,2019-05-14 18:28:35,28.018s,PASSED
println(userName),Chrome 74.0.3729.131,,,2019-05-14 18:28:35,2019-05-14 18:28:35,0.005s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-14 18:28:35,2019-05-14 18:28:35,0.026s,PASSED
