Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 16:06:38,2019-05-16 16:07:05,26.470s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 16:06:39,2019-05-16 16:07:05,26.214s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 16:06:39,2019-05-16 16:07:05,25.982s,PASSED
println(userName),Chrome 74.0.3729.131,,,2019-05-16 16:07:05,2019-05-16 16:07:05,0.003s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 16:07:05,2019-05-16 16:07:05,0.032s,PASSED
