Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 17:38:34,2019-05-16 17:39:29,55.017s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 17:38:35,2019-05-16 17:39:29,53.955s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 17:38:36,2019-05-16 17:39:05,28.678s,PASSED
profile_name = getExecutionProfile(),Chrome 74.0.3729.131,,,2019-05-16 17:39:05,2019-05-16 17:39:05,0.001s,PASSED
switch (profile_name),Chrome 74.0.3729.131,,,2019-05-16 17:39:05,2019-05-16 17:39:29,24.517s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 17:39:29,2019-05-16 17:39:29,0.029s,PASSED
