Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-14 18:48:15,2019-05-14 18:49:11,56.312s,PASSED
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-14 18:48:16,2019-05-14 18:48:54,38.326s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-14 18:48:17,2019-05-14 18:48:54,37.088s,PASSED
println(userName),Firefox 67.0,,,2019-05-14 18:48:54,2019-05-14 18:48:54,0.004s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-14 18:48:54,2019-05-14 18:48:54,0.022s,PASSED
