Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Chrome 74.0.3729.131,,,2019-05-16 16:08:09,2019-05-16 16:08:45,36.730s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Chrome 74.0.3729.131,,,2019-05-16 16:08:10,2019-05-16 16:08:45,35.834s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Chrome 74.0.3729.131,,,2019-05-16 16:08:10,2019-05-16 16:08:45,35.019s,PASSED
println(userName),Chrome 74.0.3729.131,,,2019-05-16 16:08:45,2019-05-16 16:08:45,0.004s,PASSED
Start listener action : AfterScenario,Chrome 74.0.3729.131,,,2019-05-16 16:08:45,2019-05-16 16:08:45,0.024s,PASSED
