Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-14 18:28:07,2019-05-14 18:28:46,39.146s,PASSED
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-14 18:28:08,2019-05-14 18:28:44,36.449s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-14 18:28:08,2019-05-14 18:28:44,36.087s,PASSED
println(userName),Firefox 67.0,,,2019-05-14 18:28:44,2019-05-14 18:28:44,0.003s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-14 18:28:44,2019-05-14 18:28:44,0.035s,PASSED
