Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GmailLogin,Firefox 67.0,,,2019-05-16 16:03:52,2019-05-16 16:04:27,34.678s,INCOMPLETE
,,,,,,,
Test Cases/TC_gmail_login,Firefox 67.0,,,2019-05-16 16:03:52,2019-05-16 16:04:27,34.460s,PASSED
runWithCucumberRunner(gmail_Login_Runner),Firefox 67.0,,,2019-05-16 16:03:52,2019-05-16 16:04:27,34.238s,PASSED
println(userName),Firefox 67.0,,,2019-05-16 16:04:27,2019-05-16 16:04:27,0.006s,PASSED
Start listener action : AfterScenario,Firefox 67.0,,,2019-05-16 16:04:27,2019-05-16 16:04:27,0.029s,PASSED
